Date,Open,High,Low,Close,Volume From,Volume To
2017-07-01 11-AM,2562.3,2580.99,2554,2568,43193,7781.15
2017-07-01 12-PM,2568,2577.79,2555.01,2576.58,11.0,28231.42
2017-07-01 01-PM,2576.58,2576.58,2555.01,2555.08,14.23,36482.36
2017-07-01 02-PM,2555.08,2570,2555,2556.01,18.34,47008.07
2017-07-01 03-PM,2556.01,2570,2555,2564.2,18.34,46953.85
2017-07-01 04-PM,2564.2,2568.99,2555,2565,34182,22907.08
2017-07-01 05-PM,2565,2565,2549.6,2550,24.88,63592.23
2017-07-01 06-PM,2550,2560,2537.07,2537.07,43352,23215.29
2017-07-01 07-PM,2537.07,2559.63,2531.78,2546,43358,38329.56
2017-07-01 08-PM,2546,2559.69,2530,2531,28825,32492.15
2017-07-01 09-PM,2531,2541.88,2502,2529.93,20.48,51623.96
2017-07-01 10-PM,2529.93,2529.93,2500,2505,16.85,42305.64
2017-07-01 11-PM,2505,2522.99,2500.01,2505.03,0.8633,2162.07
2017-07-02 12-AM,2505.03,2540,2500.01,2500.01,31079,7178.43
2017-07-02 01-AM,2500.01,2515.37,2496.59,2496.59,43253,6497.44
2017-07-02 02-AM,2496.59,2540,2490,2508.37,43263,31931.83
2017-07-02 03-AM,2508.37,2515.36,2490,2493,12055,3312.69
2017-07-02 04-AM,2493,2493,2485,2493,32540,7182.18
2017-07-02 05-AM,2493,2520,2486.12,2519,21551,3998.7
2017-07-02 06-AM,2519,2520.99,2494,2495.01,15008,6051.25
2017-07-02 07-AM,2495.01,2517.97,2494,2494.01,33725,14847.53
2017-07-02 08-AM,2494.01,2533,2494.01,2533,35156,12465.77
2017-07-02 09-AM,2533,2535.01,2500,2529,15036,8599.33
2017-07-02 10-AM,2529,2533.01,2515,2521,31048,4669.91
2017-07-02 11-AM,2521,2528,2515.5,2517.03,31503,12238.61
2017-07-02 12-PM,2517.03,2521,2516,2521,13.84,34862.9
2017-07-02 01-PM,2521,2530,2516.01,2529.99,33725,14931.31
2017-07-02 02-PM,2529.99,2530,2510.01,2525.7,15.33,38636.75
2017-07-02 03-PM,2525.7,2540,2520.01,2535,13.96,35264.41
2017-07-02 04-PM,2535,2539.99,2515.01,2527,18.94,47861.0
2017-07-02 05-PM,2527,2543.99,2526.01,2543.99,19.36,49035.77
2017-07-02 06-PM,2543.99,2547,2528,2528,17.58,44594.12
2017-07-02 07-PM,2528,2540,2525,2525.01,14427,18702.84
2017-07-02 08-PM,2525.01,2539.97,2525.01,2529.81,43297,40688.92
