Date,Open,High,Low,Close
2017-07-01 11-AM,2562.3,2580.99,2554,2576.58
2017-07-01 12-PM,2568,2577.79,2555.01,2555.08
2017-07-01 01-PM,2576.58,2576.58,2555.01,2556.01
2017-07-01 02-PM,2555.08,2570,2555,2564.2
2017-07-01 03-PM,2556.01,2570,2555,2565
2017-07-01 04-PM,2564.2,2568.99,2555,2550
2017-07-01 05-PM,2565,2565,2549.6,2537.07
2017-07-01 06-PM,2550,2560,2537.07,2546
2017-07-01 07-PM,2537.07,2559.63,2531.78,2531
2017-07-01 08-PM,2546,2559.69,2530,2529.93
2017-07-01 09-PM,2531,2541.88,2502,2505
2017-07-01 10-PM,2529.93,2529.93,2500,2505.03
2017-07-01 11-PM,2505,2522.99,2500.01,2500.01
2017-07-02 12-AM,2505.03,2540,2500.01,2496.59
2017-07-02 01-AM,2500.01,2515.37,2496.59,2508.37
2017-07-02 02-AM,2496.59,2540,2490,2493
2017-07-02 03-AM,2508.37,2515.36,2490,2493
2017-07-02 04-AM,2493,2493,2485,2519
2017-07-02 05-AM,2493,2520,2486.12,2495.01
2017-07-02 06-AM,2519,2520.99,2494,2494.01
2017-07-02 07-AM,2495.01,2517.97,2494,2533
2017-07-02 08-AM,2494.01,2533,2494.01,2529
2017-07-02 09-AM,2533,2535.01,2500,2521
2017-07-02 10-AM,2529,2533.01,2515,2517.03
2017-07-02 11-AM,2521,2528,2515.5,2521
2017-07-02 12-PM,2517.03,2521,2516,2529.99
2017-07-02 01-PM,2521,2530,2516.01,2525.7
2017-07-02 02-PM,2529.99,2530,2510.01,2535
2017-07-02 03-PM,2525.7,2540,2520.01,2527
2017-07-02 04-PM,2535,2539.99,2515.01,2543.99
2017-07-02 05-PM,2527,2543.99,2526.01,2528
2017-07-02 06-PM,2543.99,2547,2528,2525.01
2017-07-02 07-PM,2528,2540,2525,2529.81
2017-07-02 08-PM,2525.01,2539.97,2525.01,2522.09
2017-07-02 09-PM,2529.81,2538.99,2515,2520.91
2017-07-02 10-PM,2522.09,2538.74,2520.91,2549.99
2017-07-02 11-PM,2520.91,2549.99,2520.91,2530.01
2017-07-03 12-AM,2549.99,2549.99,2530.01,2537.07
2017-07-03 01-AM,2530.01,2556.37,2530.01,2536
2017-07-03 02-AM,2537.07,2549.09,2532.03,2545
2017-07-03 03-AM,2536,2548.99,2532.01,2556.37
2017-07-03 04-AM,2545,2556.37,2532.73,2541
2017-07-03 05-AM,2556.37,2560,2540.32,2543
2017-07-03 06-AM,2541,2560,2541,2557.97
2017-07-03 07-AM,2543,2575,2541.01,2546.02
2017-07-03 08-AM,2557.97,2557.97,2540,2542.08
2017-07-03 09-AM,2546.02,2557.95,2541,2559.68
2017-07-03 10-AM,2542.08,2559.68,2542.08,2560
2017-07-03 11-AM,2559.68,2560,2546.03,2574
2017-07-03 12-PM,2560,2575,2559.8,2599.95
2017-07-03 01-PM,2574,2600,2565.02,2585
2017-07-03 02-PM,2599.95,2603,2578,2605
2017-07-03 03-PM,2585,2605,2575,2585.45
2017-07-03 04-PM,2605,2605,2582,2585.1
2017-07-03 05-PM,2585.45,2602.96,2583,2575
2017-07-03 06-PM,2585.1,2585.1,2575,2583
2017-07-03 07-PM,2575,2585,2571.01,2590
2017-07-03 08-PM,2583,2590,2574.01,2599.99
2017-07-03 09-PM,2590,2599.99,2576.55,2593.1
2017-07-03 10-PM,2599.99,2599.99,2591,2593
2017-07-03 11-PM,2593.1,2600,2593,2588.01
